service_name;pk;service_link;service_title;service_subtitle;service_description;service_urgency;service_unsalaried;service_image
BFD;12;http://www.drk-karlsruhe.de/angebote/gemeinschaften-und-partizipation/bundesfreiwilligendienst-bfd.html;Bundesfreiwilligendienst;Leiste einen Bundesfreiwilligendienst beim DRK;"Der neu geschaffene Bundesfreiwilligendienst (BFD), der Frauen und Männern aller Altersgruppen offen steht, bietet die Möglichkeit, sich im sozialen, ökologischen und kulturellen Bereich sowie im Bereich des Sports, der Integration und des Zivil- und Katastrophenschutzes zu engagieren.
Im Bundesfreiwilligendienst sollen zukünftig möglichst viele Menschen die positive Prägung sozialen Engagements erfahren. Besonders für Wiedereinsteiger in das Berufsleben, junge Menschen in der Orientierungsphase bietet der BFD ausreichend Zeit in die verschiedenen Bereiche unserer vielfältigen Arbeit zu schnuppern. Ältere Menschen können sich über das Ende ihrer Berufstätigkeit hinaus engagieren und ihre Erfahrungen einbringen.";1;0;BFD.png
EFD;13;http://www.drk-karlsruhe.de/angebote/gemeinschaften-und-partizipation/europaeische-freiwilligendienste.html;Europäische Freiwilligendienste;"Leiste Entwicklungsarbeit im Ausland im EFD, mit dem ""FSJ im Ausland"" oder dem Entwicklungspolitischen Freiwilligendienst ""weltwärts""";"Das Deutsche Rote Kreuz bietet jungen Menschen verschiedene interessante Möglichkeiten, sich freiwillig im Ausland zu engagieren. Das Besondere: Das DRK hat langjährige Erfahrung im Bereich der Katastrophenhilfe und der Entwicklungsarbeit und kann auf die Kontakte und Strukturen einer weltumspannenden Organisation zurückgreifen. Schließlich gibt es das Rote Kreuz und den Roten Halbmond in 186 Ländern auf der ganzen Welt.
Derzeit entsendet das DRK junge Erwachsene für einen Freiwilligendienst im Rahmen der Programme „Europäischer Freiwilligendienst (EFD)“, „FSJ im Ausland“ sowie „Entwicklungspolitischer Freiwilligendienst 'weltwärts´“.";1;0;EFD.jpg
Kleiderladen Klamotte Bruchsal;14;http://www.drk-karlsruhe.de/angebote/soziale-unterstuetzung/kleiderlaeden.html;Mitarbeit Kleiderladen Bruchsal;"Unterstütze den Kleiderladen ""Klamotte"" in Bruchsal mit deinem ehrenamtlichen Engagement";Die über 800 Kleiderkammern und Kleiderläden des DRK versorgen insgesamt annähernd 2 Millionen Menschen bundesweit mit gut erhaltener Kleidung, Schuhen, etc. Pro Jahr werden ca. 12 Millionen Kleidungsstücke an Bedürftige kostenlos oder gegen eine geringe Gebühr abgegeben. Das Rote Kreuz verwendet hierzu hauptsächlich Kleiderspenden der Bevölkerung, manchmal auch Überproduktionen oder leicht fehlerhafte Artikel der Industrie. Die „Klamotte“ hängt eng mit dem im September in Bad Schönborn eröffneten Tafelladen zusammen. Der Arbeitskreis der Tafelläden im Landkreis Karlsruhe - bestehend aus Caritasverband, Diakonischem Werk und Deutschem Roten Kreuz - steht auch hinter diesem neuen Laden.;2;1;Kleiderladen Klamotte Bruchsal.jpg
Tafelläden;15;http://www.drk-karlsruhe.de/angebote/soziale-unterstuetzung/tafellaeden.html;Mitarbeit Tafeln;Unterstütze die Tafeln in Karlsruhe und Umgebung mit deiner ehrenamtlichen Mitarbeit;"Die Verteilung überschüssiger und überflüssiger Lebensmittel wird organisiert.
Ehrenamtliche Helfer fahren zu den Lieferanten und holen noch verwertbare Waren ab.
Die Waren werden aufbereitet, vorsortiert, ausgezeichnet und
an mehreren Tagen in der Woche an Einkaufsberechtigte abgegeben. Die Mitarbeiter/-innen unserer Tafelläden sind ehrenamtlich tätig.
Wir suchen immer Menschen, die sich für die sinnvolle Verwendung dieser Lebensmittel einsetzen und somit auch vielen anderen Menschen helfen.";2;1;Tafelläden.jpg
Migration und Integration;16;http://www.drk-karlsruhe.de/angebote/migration-und-suchdienst/fluechtlingshilfe-christian-griesbach-haus.html;Flüchtlingshilfe;Engagiere dich in der Flüchtlingshilfe für besonders Schutzbedürftige;"Im „Schutzraum“, einer Flüchtlingsunterkunft in Karlsruhe für besonders Schutzbedürftige, werden Menschen mit erhöhtem Bedarf an Betreuung untergebracht.
Die neue Unterkunft  bietet Platz für 200 Asylsuchende. Es handelt sich um die erste Einrichtung dieser Art in Baden Württemberg.
Mögliche Aktivitäten für ehrenamtliches Engagement sind Kinderbetreuung, Kinderaktivitäten, Unterricht, Ausflüge mit Kindern, Deutschunterricht und Patenschaften für Bewohner mit besonderem Betreuungsbedarf.";3;1;Migration und Integration.jpg
Nähgruppe Grötzingen;17;http://www.drk-karlsruhe.de/angebote/gemeinschaften-und-partizipation/ehrenamtliche-mitarbeit/ehrenamtliche-mitarbeit-aktuell-gesucht.html;Nähgruppe Grötzingen;"Verstärke die Nähgruppe ""KREUZSTICH"" in Grötzingen";"Das Motto der Nähgruppe KREUZSTICH lautet, ""Originelles aus Originalen"". Ausgediente Rotkreuztextilien, wie z.B. alte DRK-Uniformen, werden zu neuen, pfiffigen Kreationen umgearbeitet. Die individuellen Ideen der Gruppenmitlgieder werden durch geschickte Hände, sehr viel Leidenschaft für die Sache und natürlich einer Nähmaschine umgesetzt. Die Modellpalette reicht vom Smartphone-Etui über Mützen, Mäppchen, Lätzchen, Flaschenhüllen bis hin zu Taschen in allen Größen und Variationen. Mit dem Erlös, aus dem Verkauf der recycelten Modelle, werden soziale Projekte des DRK - Kreisverband Karlsruhe e.V. unterstützt. ";5;1;Kreuzstich.jpg
Suchdienst;18;http://www.drk-karlsruhe.de/angebote/migration-und-suchdienst/suchdienst.html;Suchdienst;Hilf' dabei mit, Familien wieder zusammenzuführen;"Der DRK-Suchdienst hilft Menschen, die durch Kriege wie jüngst im Irak verzweifelt auf Nachricht von ihren Angehörigen warten, die wegen Katastrophen wie der Flut in Südasien ihre Nächsten vermissen sowie Familien, die aufgrund ungünstiger politischer Verhältnisse getrennt voneinander leben müssen und auf eine Zusammenführung in Deutschland hoffen.
Wenn Sie ehrenamtlich mit wenig zeitlichem Aufwand anderen und uns helfen wollen, dann sind Sie beim Kreisauskunftsbüro des DRK richtig! Bei Katastrophen und Konflikten im Inland helfen Sie Menschen, die voneinander getrennt wurden, den Kontakt wieder herzustellen.";2;1;Suchdienst.jpg
DRK-Filmteam;19;http://www.drk-karlsruhe.de/presse/drk-filmstudio/das-team.html;Mitarbeit Filmteam;Unterstütze das Filmteam als Live-Stream-Operator, Kameramann/-frau, Veranstaltungstechniker, Redakteur oder Moderator;"Der DRK-Kreisverband Karlsruhe verfügt über ein gut ausgestattetes Filmstudio und dazugehöriger mobiler Einheit. Die ersten Projekte sind gelungen: Neuer DRK-Imagefilm, Luise von Baden-Film oder die Aufzeichnung der medizinischen Vorträge auf der offerta. Und genau für diese Aufgaben suchen wir ehrenamtliche Helferinnen und Helfer, zum Aufbau des neuen DRK-Filmteams.
Gesucht werden Erfahrene:
Kameramann/-frau, Live-Stream Operator, Veranstaltungstechniker, Moderator und Redakteure. ";5;1;DRK-Filmteam.jpg
Kreisauskunftsbüro (Konflikte und Katastrophen);20;http://www.drk-karlsruhe.de/angebote/migration-und-suchdienst/kreisauskunftsbuero.html;Helfer/-in im Kreisauskunftsbüro (KAB) bei Konflikten und Katastrophen;Hilf' im Katastrophenfall im Kreisauskunftsbüro mit;Das Kreisauskunftsbüro (KAB) im Kreisverband Karlsruhe spielt bei Katastrophen und Großschadensereignissen eine wichtige Rolle vor Ort. Zu ihren Aufgaben gehören das Erfassen und die Auswertung von Informationen über Betroffene und verletzte Personen, die Annahme telefonischer und persönlicher Suchanfragen aus der Bevölkerung und die Auskunftserteilung an Angehörige über den Verbleib von gesuchten Personen. Wir freuen uns über Helfer/-innen, die über Fremdsprachenkenntnisse verfügen, auch gerne Menschen mit Migrationshintergrund mit guten Deutschkenntnissen. Junge Leute sind ebenso willkommen wie ältere Mitbürger/-innen. Einige KAB-Einsätze, in denen der DRK-Suchdienst wichtige Anlaufstelle für die Bevölkerung gewesen ist: Hochwasser 2013, Papstbesuch 2011, Love Parade Unglück 2010, Amoklauf in Winnenden 2009.;2;1;Kreisauskunftsbüro.jpg
Sanitätswachdienst;21;http://www.drk-karlsruhe.de/angebote/sanitaetswachdienst.html;Sanitätswachdienst;Mach' mit beim Sanitätswachdienst;Ob Rockkonzert, Fußballspiel, Karnevalsumzug oder Straßenfest – wo viele Menschen zusammenkommen, gibt es viele kleine und größere Notfälle. Ob ein Kind das Knie aufschürft, ein begeisterter Fan ohnmächtig wird oder einem Läufer beim Marathon die Luft ausgeht – der Sanitätsdienst des Deutschen Roten Kreuzes leistet schnelle Hilfe. Die ehrenamtlichen Helfer des Sanitätsdienstes sorgen für die schnelle und kompetente Versorgung bei Verletzungen und Erkrankungen. Falls notwendig, koordinieren sie auch den Transport ins Krankenhaus. Die freiwilligen Helfer werden sorgfältig ausgebildet und werden für ihre Einsätze angemessen ausgerüstet. ;2;1;Sanitätswachdienst.jpg
Mithilfe Blutspende;22;http://www.drk-karlsruhe.de/angebote/blutspende.html;Mithilfe Blutspende;Unterstütze bei der Organisation von Blutspendeterminen;"Nach wie vor steigt der Blutbedarf. Durch verbesserte und neue Operationstechniken können immer mehr Leiden gelindert, geheilt und Lebensqualität verbessert werden. Blutkonserven sind dabei unersetzlich. Blutspender helfen anderen und sorgen auch dafür, dass Ihnen im Ernstfall schnell geholfen werden kann. 
Doch auch die Organisation eines Blutspendetermins erfordert  viele helfende Hände. Hier können Sie als Ehrenamtlicher aktiv werden! Ob durch Einbringen Ihrer medizinischen Fähigkeiten oder dem Backen von Kuchen, hier kann jeder helfen.";2;1;Ehrenamt_Platzhalter.jpg
Bereitschaftsdienst im Katastrophenschutz (alias Gemeinschaft);23;http://www.drk-karlsruhe.de/angebote/gemeinschaften-und-partizipation/katastrophenschutz.html;Mitarbeit Bereitschaftsdienst im Katastrophenschutz;Unterstütze den Katastrophenschutz in Sanitätsgruppe, Führungstrupp, Betreuungsdienst oder der Gruppe Technik und Sicherheit;Der Katastrophenschutz gliedert sich in die Bereiche Sanitätsgruppe, Führungstrupp, Technik und Sicherheit sowie Betreuungsdienst. Die Santitätsgruppe kommt bei Ereignissen mit Personenschäden je nach Ausmaß Schadenslage unterstützend zum Einsatz. Der Führungstrupp (Zugtrupp) führt die DRK-Einsatzeinheit sowohl bei Sanitäts-, als auch bei Betreuungseinsätzen. Die Gruppe Technik und Sicherheit gewährleistet die technische Unterstützung der Sanitätsdienst- und Betreuungsgruppen und übernimmt die sicherheitstechnische Absicherung der gesamten Einheit im Einsatz. Die Betreuungsgruppe leistet im Katastrophenfall überall dort Hilfe, wo sie sich die Betroffenen aus eigenem Vermögen nicht selbst helfen können.;2;1;Katastrophenschutz.jpg
Internetgruppe (Homepages für Ortsvereine);24;;Leitung/Mitarbeit Internetgruppe;Die Internetgruppe des Kreisverbands sucht nach Mitgliedern;Die Internetgruppe ist für die Koordination der Internetseiten der Ortsvereine zuständig. Eine vorrangige Aufgabe ist die Abstimmung mit den Homepage-Beauftragten der jeweiligen Ortsvereine sowie die flächendeckende Aktualiserung des Hompepage-Designs. Aktuell werden Mitglieder sowie eine federführende Leitung gesucht.;5;1;Internetgruppe.jpg
Rettungshundearbeit;25;http://www.drk-karlsruhe.de/angebote/erste-hilfe-und-rettung/rettungshundearbeit.html;Verstärkung der Karlsruher Rettungshunde;Ausbildung mit dem Hund als Rettungshundeteam;Rettungshundeteams (Hundeführer und Hund) sind Helfer im Rettungsdienst und Katastrophenschutz, die mit Hilfe ihrer Hunde Menschen nach Unfällen oder Katastrophen unter Trümmern, in unübersichtlichen oder schwer begeh- und einsichtbarem Gelände suchen und zu einer schnellen Rettung beitragen. Die Ausbildung eines Hundes zum Rettungshund dauert etwa 2 Jahre und findet zwei mal in der Woche statt. Die Ausbildung des Rettungshundeführers umfasst unter anderem die Bereiche Lage- und Schadensbeurteilung, Sanitätsausbildung, Karten- und Kompasskunde, Erste Hilfe am Hunde sowei Organisation und Einsatztaktik. Geeignet zur Ausbildung sind mittelgroße, belastbare Hunde, die Mut und Härte beweisen, um in Stresssituationen zu bestehen.;2;1;Rettungshunde.jpg
Notfallhilfe (Helfer vor Ort);26;http://www.drk-karlsruhe.de/angebote/erste-hilfe-und-rettung/ehrenamtliche-notfallhilfen.html;Mitarbeit bei der Notfallhilfe;Unterstütze die Notfallhilfen;Die Notfallhilfe ist ein Team von ehrenamtlichen Helfern der örtlichen Rotkreuz-Bereitschaft, das bei einem medizinischen Notfall erste Maßnahmen bis zum Eintreffen des Rettungsdienstes einleitet. Die Notfallhilfe verkürzt somit die Zeit, die der Patient auf professionelle Hilfe wartet. Nach Eintreffen am Einsatzort beginnt für die Notfallhelfer die eigentliche Arbeit: Vitalfunktionen prüfen, lebensrettende Handgriffe zum Freihalten der Atemwege, Rückmeldungen an die Rettungsleitstelle. Die hauptamtlichen Mitarbeiter des DRK-Rettungsdienstes erhalten so oft schon auf der Anfahrt die ersten Informationen. Die ehrenamtlichen Helfer der Rotkreuz-Notfallhilfen sind Mitglieder der örtlichen Rotkreuz Bereitschaften und bilden sich im Bereich Notfallmedizin regelmäßig weiter. Wichtig: im Stadtgebiet von Karlsruhe gibt es keine Bereitschaften der Notfallhilfe;2;1;Notfallhilfe.jpg
Helfer auf Abruf;27;N/A;Helfer auf Abruf;Bring' dich spontan und flexibel in die Arbeit beim DRK ein;"Als ""Helfer auf Abruf"" wirst du kontaktiert, sobald es in deiner Nähe spontane und einmalige Einsatzmöglichkeiten gibt, die für dich interessant sein könnten. So lernst du die Arbeit beim DRK direkt im Einsatz kennen und kannst dir ein Bild vom vielfältigen Ehrenamtsangebot machen.
Mögliche Einsatzfälle sind die Mithilfe beim Auf- und Abbau bei Veranstaltungen, das Einspringen bei Ausfällen beispielsweise bei den Seniorendiensten, der Einsatz als Maskottchen (Igel Erwin) bei Veranstaltungen und vieles Weitere mehr.";3;1;Ehrenamt_Platzhalter.jpg
Blutspende;28;http://www.blutspende.de/infos-zur-blutspende/blutspende-termine/blutspendetermine.php?abgeschickt=1&plz_eingabe=&ort_eingabe=Karlsruhe;;Spende Blut und rette damit Leben!;Nach wie vor steigt der Blutbedarf. Durch verbesserte und neue Operationstechniken können immer mehr Leiden gelindert, geheilt und Lebensqualität verbessert werden. Blutkonserven sind dabei unersetzlich. Blutspender helfen anderen und sorgen auch dafür, dass Ihnen im Ernstfall schnell geholfen werden kann.;2;1;Blutspende.jpg
Geldspende;29;http://www.drk-karlsruhe.de/spenden.html;Spende;Unterstütze den Kreisverband Kalrsruhe durch eine Geldspende;Mit einer Geldspende wird dem DRK Kreisverband Karlsruhe der Geschäftsbetrieb ermöglicht. Mit seiner Spende trägt der Spender dazu bei, dass die vielfältigen Dienste des DRK auch in der Zukunft angeboten werden können.;2;1;Ehrenamt_Platzhalter.jpg
